,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros (tecnología),Total (tecnología),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros (velocidad),Total (velocidad)
75,2014,4,Chaco,55.024,10.918,31,- 0,62.0,66.035,483.0,12.837,42.106,7.908,2.6,124.0,2,0.0,66.060
76,2014,4,Chubut,48.539,697,891,12.256,6.159,68.542,1.858,6.218,60.392,70.0,0.0,0.0,0,0.0,68.538
77,2014,4,Corrientes,54.754,9.526,40,1.315,75.0,65.710,40.0,13.86,42.182,7.513,2.106,0.0,9,0.0,65.710
78,2014,4,Córdoba,345.157,240.452,419,3.918,486.0,590.432,1.903,85.362,427.844,41.947,30.858,1.177,782,0.0,589.873
79,2014,4,Entre Ríos,112.291,23.027,57,5.178,260.0,140.813,2.311,27.801,88.649,18.318,3.584,1.0,66,0.0,140.730
80,2014,4,Formosa,21.245,4.896,1,- 0,65.0,26.207,1.947,7.83,14.058,1.852,473.0,47.0,1,0.0,26.208
81,2014,4,Jujuy,31.349,4.583,22,37,11.0,36.002,1.88,10.427,19.740,3.443,465.0,0.0,0,0.0,35.955
82,2014,4,La Pampa,16.043,34.281,514,5.894,648.0,57.380,6.266,6.879,36.520,26.0,5.0,4.0,10,0.0,49.710
83,2014,4,La Rioja,16.352,- 0,17,- 0,33.0,16.402,9.0,4.333,9.728,1.943,386.0,0.0,3,0.0,16.402
84,2014,4,Mendoza,151.797,13.030,2.534,31,2.222,169.614,303.0,19.0,169.222,36.0,14.0,5.0,12,0.0,169.611
85,2014,4,Misiones,58.435,18.613,16,150,15.0,77.229,547.0,11.84,53.093,8.731,2.952,54.0,12,0.0,77.229
86,2014,4,Neuquén,47.721,31.778,1.014,11.853,3.03,95.396,1.731,2.744,80.938,126.0,3.621,2.0,66,0.0,89.228
87,2014,4,Río Negro,66.307,23.703,901,3.819,1.53,96.260,3.64,4.723,85.094,94.0,2.319,4.0,30,0.0,95.904
88,2014,4,Salta,76.026,17.289,48,6,578.0,93.947,54.0,16.214,63.221,12.552,1.922,0.0,4,0.0,93.967
89,2014,4,San Juan,48.653,451,740,1.202,1.073,52.119,11.0,478.0,51.628,0.0,0.0,0.0,2,0.0,52.119
90,2014,4,San Luis,11.419,926,355,24,423.0,13.147,9.0,0.0,13.135,0.0,0.0,1.0,2,0.0,13.147
91,2014,4,Santa Cruz,17.553,448,388,4.395,2.929,25.713,156.0,1.4,24.145,1.0,1.0,0.0,0,0.0,25.703
92,2014,4,Santa Fe,335.267,183.009,3.205,6.282,1.634,529.397,8.707,99.962,359.293,36.718,21.098,869.0,824,0.0,527.471
93,2014,4,Santiago Del Estero,34.110,4.231,19,920,37.0,39.317,1.246,8.913,24.181,4.359,602.0,0.0,0,0.0,39.301
94,2014,4,Tierra Del Fuego,21.948,3.664,655,1,2.722,28.990,12.0,283.0,31.489,2.0,0.0,0.0,0,0.0,31.786
95,2014,4,Tucumán,137.093,97,116,13,105.0,137.424,17.0,28.746,85.091,20.631,2.733,196.0,0,0.0,137.414
96,2015,1,Buenos Aires,1.583.135,1.096.836,134.177,18.754,28.94,2.861.842,8.882,123.589,2.267.852,220.07,126.958,1.561,5.700,0.0,2.754.612
97,2015,1,Capital Federal,454.934,841.743,19.334,1.994,14.716,1.332.721,2.545,59.084,1.013.510,134.151,114.569,1.195,8.401,0.0,1.333.455
98,2015,1,Catamarca,25.033,241,16,1,41.0,25.332,13.0,7.634,13.754,3.202,517.0,9.0,1,0.0,25.130
99,2015,1,Chaco,54.952,26.161,164,27,56.0,81.360,26.0,12.053,47.425,15.883,5.346,489.0,135,0.0,81.357
100,2015,1,Chubut,45.645,717,906,12.540,5.465,65.273,651.0,6.176,57.333,102.0,0.0,0.0,0,0.0,64.262
101,2015,1,Corrientes,54.649,25.372,129,1.319,62.0,81.531,36.0,13.295,47.842,15.554,4.424,235.0,98,0.0,81.484
102,2015,1,Córdoba,343.883,247.564,415,4.645,450.0,596.957,157.0,78.427,432.802,46.574,37.443,1.615,815,0.0,597.833
103,2015,1,Entre Ríos,112.363,47.411,108,5.943,245.0,166.070,2.867,23.951,104.168,28.113,6.926,274.0,119,0.0,166.418
104,2015,1,Formosa,21.022,4.951,1,670,56.0,26.700,1.891,7.336,14.413,2.024,878.0,157.0,1,0.0,26.700
105,2015,1,Jujuy,31.505,5.048,22,- 0,36.0,36.611,2.458,9.754,19.858,3.939,603.0,0.0,0,0.0,36.612
106,2015,1,La Pampa,13.143,39.571,3.215,6.164,604.0,62.697,6.059,8.054,45.038,26.0,10.0,13.0,10,0.0,59.210
107,2015,1,La Rioja,16.282,- 0,16,2,33.0,16.333,11.0,4.201,9.379,2.207,533.0,0.0,3,0.0,16.334
